208,156,400,156,400,196,208,196,0.99191225
192,431,256,431,256,450,192,450,0.9911481
240,266,432,266,432,284,240,284,0.9908426
192,412,256,412,256,428,192,428,0.98924834
304,446,432,446,432,471,304,471,0.98903054
560,56,592,56,592,88,560,88,0.98893213
192,357,256,357,256,370,192,370,0.9870754
176,322,304,322,304,337,176,337,0.98641646
272,366,432,366,432,383,272,383,0.9862629
176,284,288,284,288,299,176,299,0.9853468
176,301,320,301,320,315,176,315,0.9851596
176,340,352,340,352,354,176,354,0.9828751
192,230,368,230,368,244,192,244,0.9826249
