224,189,400,189,400,220,224,220,0.9988482
192,333,336,333,336,347,192,347,0.99877435
192,355,320,355,320,369,192,369,0.99877304
400,451,432,451,432,469,400,469,0.998547
192,315,288,315,288,329,192,329,0.99839586
192,374,352,374,352,388,192,388,0.9982626
192,464,240,464,240,481,192,481,0.9981096
304,459,400,459,400,481,304,481,0.9978992
272,416,432,416,432,434,272,434,0.99725646
192,392,448,392,448,419,192,419,0.99700695
304,236,416,236,416,249,304,249,0.9942425
192,273,336,273,336,290,192,290,0.9938626
192,255,400,255,400,270,192,270,0.9935674
192,293,432,293,432,308,192,308,0.9935608
272,221,320,221,320,239,272,239,0.9927885
